"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"M24320","GOBP_MEIOSIS_I_CELL_CYCLE_PROCESS",145,0.540778548696595,2.06895363283346,2.77050501050744e-08,2.52002410668861e-06,2.14421310994407e-06,3791,"tags=37%, list=18%, signal=30%","HORMAD1/CDC20/CCNE1/CCNB2/MYBL1/RAD51AP1/TRIP13/NDC80/AURKA/PTTG1/MND1/CDC25A/TOP2A/KNL1/CKS2/RAD51/CDC25B/RAD54L/PLK1/PTTG3P/RAD54B/SGO2/CDC25C/MEIOC/FBXO5/DMRT1/CCNE2/ESPL1/BRCA2/FANCD2/SUN1/NDC1/SGO1/CCNA1/RAD21/ZWINT/KLHDC3/MSH6/BRIP1/TEX15/MSH5/BCL2L11/EME1/ANKLE1/MEI1/MRE11/EHMT2/CCNB1IP1/BAG6/PKMYT1/STAG3/MEIOB/SYCE1L"
"M41419","HP_ABNORMAL_ATRIAL_ARRANGEMENT",56,-0.698362115088436,-2.21220102787069,3.40350099401687e-08,3.0516455871853e-06,2.59655392088446e-06,1457,"tags=30%, list=7%, signal=28%","DNAAF3/CFAP300/STK36/RSPH3/BRWD1/DNAH7/DNAL1/SPEF2/CCNO/TTC12/DNAAF4/DNAAF11/DNAH5/NEK10/ZMYND10/NME5/RSPH1"
"M17093","GOBP_MEIOTIC_CELL_CYCLE",310,0.430518748019946,1.78233618571952,3.43746686850647e-08,3.0516455871853e-06,2.59655392088446e-06,3791,"tags=31%, list=18%, signal=26%","HORMAD1/CDC20/TTK/ASPM/CDCA2/CCNE1/SKA1/CCNB2/MYBL1/RAD51AP1/TRIP13/NUF2/EXO1/NDC80/AURKA/MKI67/KIF18A/PTTG1/NCAPH/MND1/NEK2/CDC25A/MASTL/TOP2A/NCAPD2/KNL1/CKS2/RAD51/ZFP42/SMC4/CDC25B/RAD54L/TDRD12/PIWIL4/EDN1/PLK1/PTTG3P/RAD54B/SGO2/FANCA/SKA3/CDC25C/MEIOC/FBXO5/DMRT1/CCNE2/ESPL1/BRCA2/FANCD2/CENPV/SUN1/NDC1/SGO1/TUBGCP3/SMC1A/CCNA1/SMC2/RAD21/TDRKH/INCENP/DCAF13/PSMB2/ZWINT/KLHDC3/H2AX/MSH6/HSF1/BRIP1/TEX15/MSH5/BCL2L11/NBN/EME1/ZNF318/ANAPC1/ACTR3/CHFR/ANKLE1/MEI1/LIF/PSMB4/MRE11/EHMT2/CCNB1IP1/BAG6/SPIRE1/CYP26B1/OOEP/PKMYT1/NSUN2/OSGIN2/STAG3/MEIOB/CDK2/SYCE1L"
"M12201","GOBP_TAXIS",458,0.386976099665984,1.66184592911867,3.42635882221284e-08,3.0516455871853e-06,2.59655392088446e-06,3285,"tags=32%, list=15%, signal=28%","CXCL5/CCL8/CXCL11/CXCL10/CCL18/S100A8/CCL20/PADI2/CXCL1/S100A9/PLA2G7/CXCL8/CXCL2/CXCL9/CYP7B1/CCL7/CXCL6/SLAMF8/EFNA5/S100A7/CCL13/CCL5/CCL2/CCL4/DEFB1/LYN/FPR3/CCL3/CX3CL1/ADGRE2/CCR1/LBP/TREM1/CXCL3/GSTP1/VCAM1/FCER1G/CMTM7/EDN1/PLD1/CXCR6/EPHB1/CCR5/ITGB2/CCR2/SEMA4D/PTK2/PDE4B/SLAMF1/PRKCQ/XCL2/CXCL16/TYMP/L1CAM/PLAUR/SUCNR1/NTN1/TNFRSF11A/KIT/GPR183/IL1B/PTAFR/RNASE2/XCL1/CXADR/PIK3CD/NOTCH1/PTPRO/MET/GPNMB/CCL19/MAPK1/CORO1C/CXCL13/CCR7/CXCR4/C3AR1/C5AR1/ANXA1/CORO1A/FPR1/BIN2/IL23A/CCL26/PTPN2/CCRL2/FPR2/CCN1/CAMK1D/IL6R/ADAM17/IL6/KLRK1/MPP1/LGMN/TRPM2/LGALS9/NCKAP1L/GPR18/FOSL1/NRP1/SYK/KLRC4-KLRK1/VAV1/EPHA2/DOCK2/VEGFA/JAML/NRG1/ADAM8/IL10/ANGPT1/CD74/SPI1/ITGA9/CMKLR1/AIF1/IL12A/ENPP2/SCRIB/SEMA5B/PERP/CSF1/NRP2/IL34/HMGB2/DNM1L/ALOX5/CCL28/RIN3/CYRIB/PLAU/CXCL17/CXCR2/ARRB2/CXCR3/STAP1/ABCC1/RAC2/KIF21A/CCL11/TRPV4/NUP85/PIK3CB/WNK1/PIK3CG/HBEGF"
"M29523","GOMF_IMMUNE_RECEPTOR_ACTIVITY",170,0.501550637386377,1.97500501653866,4.29306109289528e-08,3.78096023395706e-06,3.21710593176865e-06,3991,"tags=49%, list=19%, signal=41%","IL1R2/IL12RB2/IL27RA/FPR3/IL2RA/IL7R/CCR1/LILRB2/CSF2RB/HLA-DOB/IL15RA/LILRB1/LILRB4/FCGR3B/FCGR1BP/FCER1G/IL22RA2/IL2RG/CR1/FCGR1A/CXCR6/FCGR2B/CCR5/CCR2/IL21R/FCGR2C/CD3D/IL10RA/CD247/HLA-DQB1/CCR7/LAIR1/GFRA3/CXCR4/C3AR1/C5AR1/LILRB3/IL18R1/LAIR2/IL2RB/HLA-DQA1/TRAC/FPR1/CSF2RA/CD3G/IL1RL2/KLRD1/IFNAR2/IL12RB1/CCRL2/FPR2/FCGR2A/IL6R/KLRK1/LILRA5/IL1RAP/PIGR/KLRC4-KLRK1/IL18RAP/OSMR/CD74/CMKLR1/CR2/LILRA6/IL17RD/HLA-DOA/CD44/IL13RA2/CXCR2/CXCR3/HLA-DPA1/IFNGR1/IL20RB/LILRB5/KIR2DL4/LILRA3/CTSH/CD3E/CD4/KIR3DL2/FCAR/LILRA4/CD200R1/IL10RB"
"M15083","GOBP_NEGATIVE_REGULATION_OF_NUCLEAR_DIVISION",73,0.630578741372804,2.16271434602713,4.89626401310563e-08,4.27825525617584e-06,3.64023938645317e-06,2246,"tags=45%, list=11%, signal=41%","HORMAD1/CDC20/TTK/BUB1/SKA1/BIRC5/AURKB/TRIP13/NUF2/CENPF/NDC80/CDCA8/CHEK1/MAD2L1/BUB1B/SPC25/KNL1/PLK1/CCNB1/SKA3/SPC24/FBXO5/DMRT1/MTBP/RAD21/BMP7/INCENP/HASPIN/ZWINT/SPDL1/MAD2L2/GEN1/ZWILCH"
"M10613","GOBP_REGULATION_OF_NUCLEAR_DIVISION",152,0.521809847914857,2.01737485188852,5.21406048716082e-08,4.48530459116462e-06,3.81641147040657e-06,2246,"tags=34%, list=11%, signal=30%","HORMAD1/CDC20/TTK/BUB1/CDCA2/SKA1/BIRC5/TGFA/AURKB/UBE2C/DLGAP5/RAD51AP1/TRIP13/NUF2/CENPF/NDC80/AURKA/MKI67/CDCA8/NEK2/CHEK1/MAD2L1/BUB1B/SPC25/KNL1/NUSAP1/EDN1/PLK1/CCNB1/SKA3/SPC24/CDC25C/FBXO5/DMRT1/TNF/IL1B/ESPL1/BORA/MTBP/RAD21/BMP7/INCENP/HASPIN/ZWINT/SPDL1/MAD2L2/PHIP/GEN1/RCC1/KIF20B/ZWILCH"
"M43009","GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION",348,0.415063039196446,1.74305285825134,5.19078824789467e-08,4.48530459116462e-06,3.81641147040657e-06,3024,"tags=30%, list=14%, signal=26%","CDC20/TTK/KIF14/BUB1/UBD/ANLN/CCNE1/SKA1/BIRC5/AURKB/UBE2C/DLGAP5/CDKN2A/TRIP13/NUF2/CENPF/NDC80/STIL/AURKA/CCL2/BLM/CDCA8/EGFR/CENPE/CDC25A/CHEK1/MAD2L1/BUB1B/CDK1/SPC25/E2F7/RRM2/KNL1/EZH2/ORC1/GTPBP4/CDC25B/DONSON/BID/CDC6/PLK1/FBXO31/CDC7/TICRR/CCNB1/DBF4/NABP1/SKA3/SPC24/CDC25C/FBXO5/CCNE2/ESPL1/GPNMB/DBF4B/RBL1/CUL4A/ANXA1/DGKZ/ANKRD17/CLSPN/SLFN11/CHMP4C/MTBP/RAD21/DTL/KLHL18/INCENP/RFWD3/HASPIN/ADAMTS1/CDKN2D/ADAM17/PSMB2/PRKDC/ZWINT/SPDL1/KLF11/ACTL6A/UBE2E2/MAD2L2/E2F1/GEN1/TFDP1/BTN2A2/RCC2/FAM107A/ZWILCH/EIF4G1/ZC3H12D/PSMA7/AIF1/NSMCE2/AVEN/PRMT2/CDKN2C/RDX/TPRA1/MIIP/ATAD5/TCF3/CDKN2B/NBN/SASS6"
"M36105","HP_AUTOIMMUNITY",315,0.431101091245116,1.78985430806842,5.53224923503567e-08,4.72241305855314e-06,4.01815997071012e-06,3717,"tags=36%, list=17%, signal=30%","IGKC/CRYAB/TAP2/SPIB/LYN/IGHG1/IL2RA/CMPK2/STAT1/PLCG2/TNFSF15/TLR8/LCK/IL7R/IFIH1/CTLA4/C1QB/CSF2RB/POU2AF1/PRF1/LBR/C1QA/FCGR3B/TNFAIP3/IL2RG/CHD7/LCP2/ICOS/SOCS1/FCGR2B/C1QC/SAMHD1/FAS/LMNB2/RFC4/SEMA4D/IFNG/DCLRE1C/FCGR2C/IRAK1/PTPN22/ADA/C2/ITK/SLC7A7/CD247/ETS1/PIK3CD/IL18BP/ZFP57/HLA-DQB1/HAVCR2/PNP/IL2RB/TRAC/NRAS/CSF2RA/FASLG/CD3G/SASH3/OTULIN/TTC7A/PLAGL1/C1S/PTPN2/IL12RB1/SAT1/FCGR2A/IL6/SPP1/RNASEH2A/KLF11/ICOSLG/NFKB2/MS4A1/CLPB/ZAP70/IL10/BTK/PGM3/ITGAM/CR2/HLA-B/IL12A/HLA-DRB1/ITCH/STAR/NNT/RASGRP1/IRF5/DOCK8/STAT4/HLA-DPA1/NBN/IFNGR1/TNPO3/ADA2/ITPR3/HR/PIK3CG/LACC1/CASP10/DEF6/PSMB10/HIRA/AKT2/TBX1/EIF2AK4/NFKBIA/KRAS/CIITA/DRG1"
"M13926","GOBP_T_CELL_RECEPTOR_SIGNALING_PATHWAY",157,0.518889275836176,2.0225087767988,5.82203140843303e-08,4.93183836178484e-06,4.19635369494932e-06,4164,"tags=54%, list=19%, signal=44%","GBP1/TNFRSF21/CD274/PLCG2/LCK/THEMIS2/CTLA4/CD86/TRDC/PTPRC/LILRB4/RIPK2/LAG3/CD80/KCNN4/CD8A/LCP2/FYB1/PDCD1LG2/PDE4B/NCK1/TRAT1/PTPN22/RAB29/ADA/CD3D/ITK/CD247/SH2D1A/PIK3CD/LAPTM5/MAPK1/HLA-DQB1/CCR7/TRGC2/PRNP/DGKZ/CD300A/TRAC/CD3G/MOG/STOML2/THEMIS/PTPN2/KHDRBS1/CLEC2D/CD8B/CD226/PVRIG/CYLD/MALT1/ICOSLG/SLA2/BTN2A2/BTN3A3/MAP3K7/ZAP70/BRAF/BTK/CEACAM1/UBASH3A/HLA-DRB1/CBL/ZC3H12A/RC3H2/FYN/WNK1/PIK3CA/HLA-A/FCHO1/CD3E/CSK/BTN3A2/BTN2A1/CD4/ZNF683/INPP5D/BTN3A1/LAT/CD28/PTPRJ/EIF2B5/BCL10/EIF2B3/SHB"
"M15907","GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION",49,0.701995015108165,2.20539009189212,6.3053722528719e-08,5.30081180985753e-06,4.51030216174329e-06,1724,"tags=39%, list=8%, signal=36%","APOBEC3A/APOBEC3B/RSAD2/OASL/SLPI/CCL5/MX1/ISG15/IFIH1/OAS2/PLSCR1/OAS1/IFIT1/SRPK1/ISG20/TNF/IFI16/OAS3/APOBEC3G"
