"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"M36169","HP_ABNORMAL_CIRCULATING_CHOLESTEROL_CONCENTRATION","72/7046","154/16896",0.116350998230309,0.438113919943031,0.381995583370195,"CYP7B1/MEG3/GHR/PLAAT3/BBS4/SPIB/FHL1/BBIP1/SAR1B/TTC8/TNFSF15/SLC2A3/CEP290/CAV1/B4GALT1/LRP6/UBR1/LZTFL1/SYNE1/SC5D/BBS1/UBE3B/MYO5B/GALK1/MSMO1/ALMS1/DHCR7/MMEL1/IFT27/PHKB/DHCR24/NSDHL/CYP27A1/SLC25A13/WDPCP/ATAD3A/SLC7A7/SCLT1/SCARB2/BBS10/IRF5/TDP1/BBS7/EBP/SLC37A4/ARL6/IL12A/LMNA/ALG6/RAI1/TNPO3/HTT/SLC25A36/GALNT2/APTX/BBS9/PEX12/MEF2A/TMEM43/STX5/SYNE2/FLCN/SMPD1/NGLY1/PHKA2/SETX/LIPA/APOC3/CAV3/IL12RB1/DYRK1B/APOA4",72
"M16413","GOBP_SKELETAL_SYSTEM_MORPHOGENESIS","107/7046","234/16896",0.117179166051358,0.438113919943031,0.381995583370195,"FOXC1/RDH10/SFRP4/SFRP1/MSX2/COL3A1/MYC/SIX1/COMP/MMP16/HOXB3/CBS/GLI3/HOXC9/COL27A1/ZEB1/HOXD8/BARX2/HOXB2/MTHFD1L/SOX6/GHR/FGF18/HOXC4/TRIP11/COL1A1/PCGF2/RARA/TMEM119/TGFBR1/BMP4/SOX9/RARB/AXIN2/COL5A1/SATB2/PEX7/WDR19/TWIST1/CHST11/DLG1/POC1A/VEGFA/TFAP2A/DLX5/HOXB7/IRX5/MMP2/FOXC2/TGFBR2/FGFR1/NAB1/COL13A1/TBX15/RAB33B/SMAD3/MTHFD1/BMPR2/SPEF2/LAMA5/CTDSPL2/PRKRA/BMI1/MEF2C/SGPL1/TIPARP/ALPL/HOXA7/EXT2/TRPV4/POR/ALX1/MAPK14/HOXC11/NAB2/EIF4A3/FOSL2/FGFR2/HOXC8/ATF2/EXT1/GUSB/THRA/ZFAND5/DYNC2I1/RARG/HOXD3/CTNNB1/TULP3/RYK/NOG/SMAD2/BPNT2/HOXD9/PKD1/TIFAB/HOXA11/ATG9B/ALX3/IHH/ATG9A/COL11A2/RIPPLY2/SLC39A3/WNT7A/CER1/FGF8",107
"M35338","HP_RECURRENT_SKIN_INFECTIONS","68/7046","145/16896",0.11743897072529,0.438113919943031,0.381995583370195,"DSG1/KRT5/PKP1/FERMT1/IL6ST/CLEC7A/LAMC2/GJB6/FOXP1/PIK3R1/NR3C1/CTSC/STK4/RORC/IL2RA/CYBB/STAT1/OTULIN/TFRC/KNSTRN/CARD9/ADAM17/DCLRE1C/SREBF1/ITGB2/LYST/TLR8/BRAF/WDR1/FOXC2/CYBA/MAN2B2/NCF1/ADA/CLPB/EPG5/BLNK/IL17RC/PGM3/RFXAP/SRP19/HYOU1/SEC61A1/SPI1/TCF3/PIK3CD/XIAP/RFX5/STAT3/SYK/NAE1/UBE2A/USP8/MYD88/BTD/BLOC1S6/MRTFA/IL6R/CIITA/MBTPS2/UROS/UROD/USP48/CD79B/FOXP3/GJC2/ZNF341/IL17F",68
"M24816","GOBP_VESICLE_MEDIATED_TRANSPORT_TO_THE_PLASMA_MEMBRANE","79/7046","170/16896",0.117478888833331,0.438113919943031,0.381995583370195,"RABEP1/MICALL1/RAB11A/WIPF3/ANKRD50/GOPC/RAB17/EXOC6/RAB26/OPTN/RAB11FIP3/DENND1B/CPLX1/COMMD2/KRT18/GGA2/LYPLAL1/STXBP5/SEC16A/ANKRD27/CCDC93/BBS1/WASHC1/COMMD10/VPS13B/ARL3/ARL4C/STX3/SCARB2/AKAP5/EPG5/INPP5F/RAB14/VPS26C/GCC2/ACAP2/VPS35/SORL1/SCRIB/EHD1/NDRG4/EHD2/GOLGA7/EHBP1L1/STX6/MACF1/NSF/SYS1/EHD3/VAMP4/SNX3/RAB35/HGS/RAB12/OSBPL5/COMMD5/SNX12/GOLGA4/ARFRP1/VPS26A/VTI1A/VAMP2/PREPL/VPS50/ATP2C1/EHD4/EIPR1/RAB8A/RAB10/EXOC4/SACM1L/LMTK2/ARHGAP1/RAB13/AMN/GGA3/LLGL1/GRIP2/LRRC7",79
"M35365","HP_TETRALOGY_OF_FALLOT","86/7046","186/16896",0.118007744707284,0.438113919943031,0.381995583370195,"RRAS2/ZFPM2/CHRM3/RAD51/CASZ1/SMARCE1/SIX3/COX7B/FANCB/ARID2/UBE2T/ARID1B/ROR2/NR2F2/RAD21/CDK8/FANCI/FANCA/DACT1/CHD7/PIGL/FANCD2/BRCA2/JMJD1C/SLC35A2/FANCE/DDX11/RFC2/ZEB2/BRAF/RBM8A/FOXC2/HSPG2/FBXL4/FGFR1/NCF1/NOTCH1/PUF60/DDX59/PQBP1/NOTCH2/PRDM16/DISP1/GTF2I/RERE/FANCG/SMARCA4/SLC37A4/MYRF/RFWD3/MAD2L2/DLL1/KDR/BUD23/ALX1/KDM6A/EHMT1/MMP23B/FRYL/GLI2/KMT2D/RREB1/NKX2-5/SKIC3/GTF2IRD2/UBE2A/FANCC/ESS2/LIMK1/SMARCC2/BAZ1B/FLT4/CACNA1C/VAC14/EIF4H/FOXH1/DNAJC30/ALX3/NIPA2/FKBP6/SUFU/GATA6/KCNAB2/SRCAP/SMARCD1/FGF8",86
"M29264","GOBP_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS","143/7046","317/16896",0.118241100439575,0.438113919943031,0.381995583370195,"DHRS2/MAPT/NQO1/LCN2/CD36/SOD2/RHOB/SCN7A/XBP1/HGF/GPR37/GDF15/PTGS2/CDK1/EDNRA/PPIF/STK39/FOXP1/PDGFD/PEX13/YBX3/TP53INP1/AQP1/PCGF2/FUT8/WNK3/FAS/PNPT1/GSR/CYP1B1/LRRK2/FBXO31/PRKD1/STK26/BDKRB2/DAPK1/KLF2/NCOA7/ERRFI1/STAU2/GPX8/ECT2/SLC2A1/PLA2R1/CAV1/FBP1/CASP1/PTPRK/ATP7A/SIRPA/PRKCI/PRKAA1/EFHD1/ALOX5/OXR1/RELB/FANCD2/SIN3A/EZH2/DDR2/CYGB/ATG7/SERPINB6/TET1/LRRC8C/MMP2/RAD52/LRRC8D/TNFAIP3/PEX5/HDAC2/USP15/GPX7/PML/FOXO1/AQP5/MEAK7/PRKRA/TSPO/ATG5/AIFM2/DNAJA1/FOXO3/CFL1/NLK/ZNF580/HSPA1A/SPHK1/MGAT3/AKR1B1/TRPV4/ERCC6L2/AKT1/CUL3/RELA/PRDX2/ZFAND1/STK24/PIK3CA/OXSR1/ABCC1/TRAP1/ATF2/IL6/FXN/ATM/PDCD10/HSPA1B/PXN/NOS3/ALDH3B1/ARNT/KEAP1/SIRT2/FANCC/AIFM1/PKD2/ARL6IP5/ABCC9/ABL2/PEX12/NLRP3/SLC11A2/PCNA/TMEM161A/CUL1/MAPK8/AGAP3/HTRA2/SNCA/CIAPIN1/ADPRS/SLC12A6/SIRT1/TIFAB/PRDX1/FXYD2/SETX/HDAC6/EPO/RIPK1/TRPV3/APOA4",143
"M11147","GOBP_VENTRICULAR_CARDIAC_MUSCLE_CELL_DIFFERENTIATION","10/7046","17/16896",0.118358721119419,0.438113919943031,0.381995583370195,"CDK1/RARA/RARB/CCNB1/MEF2C/ATG5/RXRB/LMNA/NKX2-5/MYOCD",10
"M11662","GOBP_TRANSLATIONAL_TERMINATION","10/7046","17/16896",0.118358721119419,0.438113919943031,0.381995583370195,"JMJD4/EIF5A2/EIF5A/GSPT1/MTRF1/MRPL58/ABCE1/GFM2/OGFOD1/MTRF1L",10
"M12089","GOBP_MORPHOGENESIS_OF_AN_ENDOTHELIUM","10/7046","17/16896",0.118358721119419,0.438113919943031,0.381995583370195,"LCN2/RHOB/CXCL10/FOXP1/ADAMTS12/STARD13/CSNK2B/FGF1/CTNNB1/ACVRL1",10
"M12952","GOMF_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_BINDING","10/7046","17/16896",0.118358721119419,0.438113919943031,0.381995583370195,"IGF2/SOCS2/IGF1/IRS1/PIK3R1/ARRB1/CREG1/YWHAH/SOCS1/CRK",10
