"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"M13753","GOBP_REGULATION_OF_GLYCOGEN_METABOLIC_PROCESS",36,-0.578740491685375,-1.75404561670217,0.00266652753789222,0.0424526608348034,0.0362626419485024,4009,"tags=42%, list=19%, signal=34%","PPP1R3B/PPP1R3D/GSK3B/HMGB1/PHKA1/AKT1/DYRK2/PPP1R3E/EPM2AIP1/SORBS1/IRS1/IGF1/IGF2/ENPP1/PPP1R3C"
"M10581","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_APOPTOTIC_PROCESS",27,0.588690470181158,1.7073358806982,0.00267026739323175,0.0424526608348034,0.0362626419485024,5261,"tags=74%, list=25%, signal=56%","MYC/CDKN2A/IDO1/LYN/CCL5/ANXA1/CD274/TGFB2/PERP/TP53/PIK3CD/LGALS9/ZC3H8/FCAR/ADAM8/PRELID1/BAX/P2RX7/NR4A3/PIK3CB"
"M10384","GOBP_INTERMEDIATE_FILAMENT_BASED_PROCESS",93,0.424618329234839,1.5869331757234,0.00267785358915921,0.0425123623446349,0.036313638386234,1352,"tags=14%, list=6%, signal=13%","KRT16/KRT6B/KRT17/KRT5/KRT23/PKP1/KRT15/KRT6A/KRT81/SYNM/KLHL24/PKP2/NES"
"M25833","GOCC_NADPH_OXIDASE_COMPLEX",18,0.658989709687003,1.75507116069945,0.00268938231053832,0.0426343935714911,0.036417876250222,3004,"tags=56%, list=14%, signal=48%","DUOX1/CYBB/RAC3/NCF4/DUOXA1/NCF2/CYBA/NCF1/NOXO1/RAC2"
"M15140","GOBP_CHRONIC_INFLAMMATORY_RESPONSE",22,0.626747697556517,1.75206467898403,0.00270979507949877,0.0428080427626045,0.0365662056674638,1983,"tags=41%, list=9%, signal=37%","ADORA2B/IDO1/S100A8/S100A9/CEBPB/CCL5/TNF/TNFAIP3/UNC13D"
"M10631","GOBP_CARDIAC_CHAMBER_MORPHOGENESIS",131,-0.395403406672359,-1.52665177811897,0.0027119089900073,0.0428080427626045,0.0365662056674638,2930,"tags=30%, list=14%, signal=26%","FGFR2/HES1/FKBP1A/BMPR1A/HEG1/FZD2/HEYL/SMAD6/NPY2R/MEF2C/BMPR2/SHOX2/TGFBR2/PARVA/HEY1/APLNR/ID2/COL11A1/FZD1/SLIT3/TBX5/BMP4/TGFBR3/TGFBR1/MDM2/LRP2/RBP4/RARA/ROBO2/TEK/EDNRA/SLIT2/ZFPM2/SFRP2/SEMA3C/CPE/TBX3/MSX2/GATA3"
"M35069","HP_ABNORMALITY_OF_SKIN_PIGMENTATION",498,0.285023079013356,1.30287126569529,0.00270463227816372,0.0428080427626045,0.0365662056674638,3919,"tags=31%, list=18%, signal=26%","KRT5/SOX10/CDH3/CBS/FERMT1/TYMS/STEAP3/TRIP13/CDKN2A/BUB1/RRAS2/LAMC2/GJB6/RAD51/MCM4/FANCB/BLM/SPIB/CTSC/TNFRSF11A/FAS/PLCG2/UBE2T/CYBB/DKC1/MSH2/NNT/GJB3/TNFSF15/KIF15/ZPR1/BUB1B/KLHL24/KNSTRN/NRAS/CARS1/MSH6/ALG3/DCLRE1C/MRAS/FANCI/FANCA/POLH/NCF4/OCA2/CDKN2B/FANCD2/TFR2/NF2/BRCA2/EZH2/LBR/SLC35A2/KIT/FANCE/CAPRIN1/LRP6/DDX11/CSTA/BRAF/MAPK1/CLTRN/RPA1/TNFRSF11B/RBM28/NCF2/DCPS/CYBA/CHRNA7/HCCS/NCF1/IFNG/HPS3/ESCO2/TARS1/STAR/RIT1/WASF1/WBP11/EMC1/BRIP1/IRF5/NFIX/C1S/NFKB2/TP53/NBN/FANCG/SGPL1/EBP/CXCR4/PTCH1/ANAPC1/TP53RK/SDHB/RECQL4/PTPN22/RFWD3/NSUN2/LTV1/CEP57/MAD2L2/GTF2E2/ITGB4/SOS1/PIK3CA/IL12A/PPOX/ARL6IP6/POLA1/PAX6/LMNA/TUBB/CTLA4/PCNT/PIK3CD/PSMB8/HR/MAPRE2/LAMB3/IL6/HAMP/ATP6V1B2/ACP5/POU2AF1/CBL/IRF1/EDN3/FLNA/TNPO3/SPRED1/PHIP/SMO/SET/BANF1/RAB27A/MPV17/PPP1CB/USB1/ACD/SDHC/UBE2A/KDF1/POT1/FANCC/ACTB/ERCC6/GBA1/ANKLE2/SMS/GALC/UBAP2L/CDK4"
"M16792","GOBP_LUNG_ALVEOLUS_DEVELOPMENT",55,-0.508705857334887,-1.6997465944708,0.00273322065201128,0.0430618844339101,0.0367830347061425,3398,"tags=42%, list=16%, signal=35%","PHF14/ATXN1L/COL6A1/PDGFA/FGFR2/CREB1/MAN2A1/KDR/BMPR2/FOXP2/HOXA5/ATP7A/BMP4/ATXN1/ITGB6/IGFBP5/HOPX/IGF1/TGFB3/FBN1/ABCA12/PGR/FOXA1"
"M50067","HP_ABNORMAL_SPERM_PHYSIOLOGY",123,-0.40669208411552,-1.56596903226086,0.00273575097106485,0.0430618844339101,0.0367830347061425,5291,"tags=36%, list=25%, signal=27%","CFAP300/ARMC2/CCDC65/CCDC146/CATSPER2/CFAP45/SPINK2/TTC21A/PKD1/NEK8/IFT74/BRDT/ODAD4/RPGR/SPAG17/PKD2/CFAP43/IFT140/RSPH3/NEK10/CEP112/AK7/DNAAF3/DNAAF11/SPEF2/STK36/BICC1/PDE11A/CDC14A/OFD1/TTC12/CFAP70/CFAP69/ZMYND10/BRWD1/DNAH7/DNAAF4/WDR19/CCNO/DNAL1/DNAH5/NME5/RSPH1/DNALI1"
"M10081","GOBP_SMAD_PROTEIN_SIGNAL_TRANSDUCTION",85,-0.458026022558265,-1.64385471178013,0.00274400258752218,0.0431305902460816,0.0368417225296514,3979,"tags=45%, list=19%, signal=37%","ZMIZ1/GDF11/ACVRL1/MAGI2/TWSG1/SPTBN1/OVOL2/NOG/GLCE/RUNX2/BMPR1A/SMAD6/PMEPA1/EMILIN1/MIR101-1/CITED1/BMPR2/INHBA/ACVR2A/SMAD3/LRP1/TOB1/TGFBR2/SMAD5/SMAD9/CCN3/SMAD1/DAB2/GREM1/BMP4/TGFBR3/TGFBR1/RBPMS/LDLRAD4/GDF15/TGFB3/XBP1/CILP"
