"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"M17129","GOCC_ENDOCYTIC_VESICLE",353,0.336272418506539,1.36667000777449,0.00172136077567354,0.031573455417602,0.0275986768992286,3934,"tags=32%, list=18%, signal=27%","MARCO/ANXA3/EGFR/LTF/TGFA/CLEC4E/TF/LYN/TLR1/IL7R/CYBB/CD163/TLR2/TAP2/CD82/GPR161/TAP1/PLD1/CTSS/PTCH1/WNT5B/NCF1/FCGR1BP/GNLY/CTLA4/NCF2/NCF4/FCGR1A/CYBA/SLC11A1/HLA-DQB1/RAB20/SCGB3A2/HCLS1/HLA-F/SYK/HLA-DQA1/MPEG1/RAB7B/CORO1A/ACE2/SLAMF1/ATG5/SH3KBP1/SLC15A2/CD3D/TLR6/HLA-DPA1/CTSL/CD3G/BTC/WNT6/HLA-B/HLA-DRB5/HLA-DRB1/HLA-C/HLA-G/RAC2/HLA-DRA/TFRC/CD74/MSR1/SPHK1/RAB32/CAMK2D/SH3GL2/ABCA1/HLA-E/INPP5B/IGF2R/SNX3/HLA-DPB1/RAB9A/TAPBP/M6PR/HLA-DRB4/STX6/CD207/ADAM8/TRIM14/HLA-A/NOD2/ATP6V0A2/HBEGF/PICALM/INPP5F/CALR/GSN/MYO1E/B2M/SCARB1/CLTA/RIN3/LPAR2/SMO/EHD1/APOE/EPS15/ARRB2/AP2M1/GOLIM4/RALA/HYOU1/DNM2/STX7/SLC9A9/SYT11/TLR7/LAMP1/UNC93B1/NOS3/FMNL1/DPP4"
"M40426","GOBP_NEGATIVE_REGULATION_OF_LOCOMOTION",329,-0.344457668817322,-1.40312783702713,0.0017380612318407,0.0318271707751423,0.0278204520608164,2665,"tags=26%, list=12%, signal=23%","BMPR1A/PTEN/ING2/TBX5/DLC1/IL24/AKT1/ALOX15B/C5/STARD13/ARID4A/CYGB/GSK3B/PTPRG/SAP30L/MMRN1/PLCB1/MEOX2/CHRD/ABCC8/EPPK1/DCN/CTNNA1/TIE1/CERS2/C5AR2/RECK/TCAF1/PODN/MCC/BRAF/WNT4/MMP28/CLDN5/DUSP10/DLG5/MAGI2/SIN3A/TNN/RAP2C/GJA1/ARID2/CLASP2/BMP4/PTPN1/PATZ1/SEMA6D/SEMA5A/CDH1/SLIT2/CDH11/SFRP2/ABHD2/MIA3/NR2F2/THBS1/MMRN2/CARD10/LDLRAD4/SYNJ2BP/SRGAP1/ZMYND8/STC1/LIMA1/TP53INP1/COL3A1/PRKG1/SEMA3F/ROBO2/DNAJA4/CCDC125/EVL/MACIR/NAV3/PTPRT/IGFBP5/BMERB1/ADIPOQ/BCL2/RHOB/APOD/NHERF1/GDF15/GATA3/DACH1/ERBB4"
"M17581","GOCC_DESMOSOME",31,0.634901741396052,1.78788682046898,0.00174124506629255,0.0318329431641654,0.0278254977644773,3376,"tags=45%, list=16%, signal=38%","DSC3/DSG1/DSC2/DSG3/PKP1/KLHL24/DSG2/PERP/DSP/B4GALT1/PKP2/KAZN/VCL/PNN"
"M16719","GOBP_INNER_EAR_RECEPTOR_CELL_DEVELOPMENT",50,-0.560802443190393,-1.75079550648419,0.00175942125303741,0.0320824764769107,0.0280436173583882,2692,"tags=34%, list=13%, signal=30%","OTOGL/TPRN/IFT88/TSKU/MKS1/SDC4/FGFR1/SLC4A7/PLS1/IFT27/ADGRV1/CECR2/TRIP11/TTC8/ATP8B1/NHERF1/SLITRK6"
"M10722","GOBP_REGULATION_OF_DEVELOPMENTAL_GROWTH",305,-0.356074362773866,-1.43879826638613,0.00176067659497509,0.0320824764769107,0.0280436173583882,2783,"tags=22%, list=13%, signal=19%","EZR/SHTN1/BMPR1A/LIN7B/PTEN/TBX5/AKT1/G6PD/GPAM/LEP/IST1/GSK3B/CDKL3/PLCB1/RAI1/RUNX1/EPPK1/ARX/ULK2/FGF13/SLC6A4/ADNP/DUSP10/RNF157/SIN3A/FGFR1/GDI1/PAK1/SEMA3G/CLASP2/RBP4/PLS1/RIMS1/SEMA6D/SEMA5A/CDH1/SIX1/CTTN/FOXP1/ZFPM2/HOPX/RAB21/CRABP2/SEMA3F/COL14A1/ACACB/BBS4/NRCAM/NEDD4L/IGF2/CACNA2D2/OLFM1/BCL2/STC2/GHR/GAMT/CGA/SYT17/LIN7A/FGFR3/GDF15/SYT1/MAPT/AR/NPY1R/ERBB4/AGR2"
"M36323","HP_INCREASED_CIRCULATING_IGM_LEVEL",39,0.583772693817715,1.70612002344754,0.00177248071918583,0.0322446205586969,0.0281853491411517,4375,"tags=59%, list=20%, signal=47%","SPIB/TNFSF15/POU2AF1/FAS/PIK3CD/SEMA4D/CD247/SH2D1A/IFNGR1/IL12RB1/CD40/OTULIN/DNMT3B/TPP2/IL12A/FASLG/PGM3/RASGRP1/NFKBIA/MYD88/CASP10/IRF5/TNPO3"
"M18074","GOBP_DNA_TEMPLATED_DNA_REPLICATION",171,0.395860562120107,1.49238642438153,0.00180485961926964,0.0327799135761624,0.0286532541848045,5192,"tags=48%, list=24%, signal=37%","CCNE1/MCM10/ORC1/GINS4/BLM/SAMHD1/RFC4/MCM4/EXO1/DNA2/MCM7/RFC3/MRE11/TICRR/FAM111B/BRCA2/E2F8/PRIM2/ZPR1/MCM5/DONSON/SLFN11/CUL4A/ORC6/DBF4/ASF1A/CDT1/FBH1/POLA2/POLQ/FBXO5/PHIP/DDX11/MCM9/METTL4/REV3L/CDC45/RAD51/RFWD3/RECQL/ORC3/POLD3/NUCKS1/CDK2AP1/E2F7/CUL2/BAZ1A/GINS3/FEN1/MCM6/CDC7/RPA1/CDC34/ATR/WRN/POLD1/MCM2/MCMBP/MCM3/DBF4B/OOEP/WRNIP1/CIZ1/HELB/TRAIP/GMNN/POLG/GEN1/NYNRIN/POLE3/NBN/MCM8/ORC5/WDHD1/TONSL/POLA1/WDR18/TERF2/CARM1/ATRX/NOC3L/RFC2"
"M36705","HP_RECURRENT_CANDIDA_INFECTIONS",19,0.712744701575446,1.8149872243842,0.00181218926716832,0.0328592553885079,0.0287226076659031,2212,"tags=63%, list=10%, signal=57%","IL7R/GJB6/CTLA4/PIK3CD/CD247/CD3D/DOCK8/IL12RB1/ZBTB24/CIITA/ZAP70/RFXAP"
"M26476","GOMF_IMMUNOGLOBULIN_RECEPTOR_ACTIVITY",13,0.762029552005975,1.74612450369146,0.00183220597713736,0.0331680093446873,0.0289924926235439,1154,"tags=54%, list=5%, signal=51%","FCGR2B/FCGR3B/FCER1G/FCGR2C/FCGR1BP/FCGR1A/FCGR2A"
"M26002","GOCC_NEURON_TO_NEURON_SYNAPSE",394,-0.331335575726903,-1.37423643845379,0.00184805694247404,0.0334004688772548,0.0291956878534172,2661,"tags=19%, list=12%, signal=17%","LIN7B/PTEN/SUMO2/TNIK/GPER1/NEURL1/PRRT1/HOMER2/EIF3A/AKAP5/ARFGEF2/LRFN2/PSD3/ADD1/ANKS1B/USP6/SYNDIG1/SRCIN1/CAP2/CRIPT/RNF10/PLEKHA5/PRR12/NEO1/MPP2/UBE3B/NSG2/BAALC/SLC1A1/PJA2/RAPGEF4/LRRC4C/ADAM22/DLG3/CAMK2B/PDPK1/DLG5/MAGI2/PALM/HNRNPD/CPEB4/BAIAP2/RPL14/PRRT2/GPHN/PRICKLE2/EPS8/RTN1/DYNLL2/SYT9/SPOCK1/ITPR1/RTN2/NTM/ADRA2A/PCLO/SHISA6/GRIK3/CACNG4/CTNND2/ARHGAP32/GRIA2/NEGR1/NRCAM/ROGDI/LNX1/CPEB3/SLC4A8/INSYN2A/LIN7A/CAMK2N1/SYT1/ADCY1/CLSTN2/ERBB4"
"M10860","GOBP_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_SIGNALING_PATHWAY",30,0.643594210999717,1.78780124028162,0.00186318585673196,0.0336191438246415,0.0293868338378862,3333,"tags=53%, list=16%, signal=45%","BIRC3/INAVA/TNFAIP3/PTPN22/RIPK2/LACC1/MAP3K7/SLC15A2/CYLD/OTULIN/SLC15A3/TLR4/BIRC2/NOD2/NFKBIA/ITCH"
"M22250","GOBP_IMMUNE_RESPONSE_TO_TUMOR_CELL",36,0.606790485661636,1.74153516139061,0.00187777325969441,0.0338273536734234,0.0295688321737593,2742,"tags=44%, list=13%, signal=39%","IL4I1/CD274/NKG7/CEACAM1/PRF1/PVR/PRKAA1/LAG3/HAVCR2/HLA-DRB1/IL12A/CD226/CRTAM/BTLA/HLA-A/ADAM15"
"M23720","GOBP_POSITIVE_REGULATION_OF_REGULATORY_T_CELL_DIFFERENTIATION",24,0.661828587804755,1.73599989708598,0.0018841598063387,0.0338873928216216,0.0296213130007866,2613,"tags=54%, list=12%, signal=48%","IL4I1/LILRB2/LILRB4/CR1/IL2RG/IFNG/SOCS1/HLA-DRB1/HLA-G/HLA-DRA/BTN2A2/LGALS9/VSIR"
"M10968","GOBP_MAMMARY_GLAND_EPITHELIUM_DEVELOPMENT",72,-0.502737329012189,-1.67729442688412,0.00189922953181254,0.0341031555251193,0.0298099133634007,227,"tags=15%, list=1%, signal=15%","CCND1/MSX2/PRLR/TBX3/ZNF703/AREG/AR/GATA3/PGR/ERBB4/ESR1"
"M15977","GOBP_STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE",55,0.523138139443602,1.63146110576919,0.00192386432333051,0.0344896969240689,0.0301477931119643,3534,"tags=36%, list=17%, signal=30%","MID1/CRYAB/GSTP1/INAVA/FAS/MAPK1/MYC/FOXM1/TGFB2/RIPK2/CARD9/MAP3K7/TLR4/MAP3K5/MAPK8/NOD2/MAP2K3/PDCD10/PBK/MAP3K13"
"M17344","GOCC_PHAGOCYTIC_CUP",30,0.64248764752258,1.78472738485678,0.00193155776551174,0.0345019821811302,0.0301585317794866,3796,"tags=47%, list=18%, signal=38%","CLEC4E/ANXA1/TNF/CORO1A/LCP1/BIN2/SNX5/AIF1/MYO1G/TLR4/ARHGAP25/MEGF10/DNM2/SYT11"
"M23110","GOBP_INTERFERON_ALPHA_PRODUCTION",32,0.60553513842249,1.7090140355017,0.00192798080668672,0.0345019821811302,0.0301585317794866,4428,"tags=56%, list=21%, signal=45%","MMP12/TLR8/IFIH1/NMI/RIPK2/RIGI/STAT1/HAVCR2/NMB/TLR4/NLRC3/TLR7/IL10/HMGB1/TRIM65/DHX36/IRF5/DHX9"
"M24840","GOBP_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE",244,-0.362214416767825,-1.43103715303371,0.00193387698627224,0.0345019821811302,0.0301585317794866,3272,"tags=37%, list=15%, signal=32%","PPP3CB/RAP1B/EFR3A/SYNJ1/OSBPL2/AP3B2/SEPTIN5/ATP6V0A1/CDK5/CALM3/AP3D1/NUMB/RAB3A/BTBD8/CALY/FCHO2/BLTP1/IQSEC1/NCDN/RIMS2/AP3M1/SGIP1/SYT12/BSN/ATP6V1D/PSEN1/SCRN1/NAPA/ARF6/VAMP2/SYT7/DGKQ/ATP6V1C1/PPFIA3/EPS15L1/SNAP23/GAK/NAPB/ATP2A2/BTBD9/ATP6V1G1/USP46/AP2A1/RAP1A/ATP6V1G2/SYNJ2/PTEN/NECAP1/SNCG/ATP6V0C/FBXL20/SYNGR3/USP6/SYNDIG1/SV2A/ARHGDIA/ATAD1/LPAR1/TBC1D24/PREPL/SNAP25/ITSN1/CALM1/AP2B1/RAPGEF4/SNAP29/BRAF/AP3S2/HIP1/ATP6AP1/SLC18A2/PIK3C3/CADPS2/RIMS1/PRRT2/CLCN3/ATP6V1B1/SYT9/STXBP1/AMPH/PCLO/STON2/SYT13/RPH3AL/RABEP1/SLC4A8/CPLX1/RIMS4/RAB27B/SYT17/SYT1"
